label,index,romPath,inputScript,stopFrame,maxSteps,maxSeconds,snapshotFrames,saveFile,saveReadOnly,targetScene,baselineRequired,minDistinctPcs,expectedScene,notes
sonic-advance-longplay,125,,scripts\visual-input\sonic-advance-longplay.input,30000,15000000000,2400,600,visual-saves\approved\sonic-advance-roundtrip.sav,true,strict-longplay,true,8,Sonic Advance extended beach gameplay soak,Strict longplay baseline for scanline/HBlank timing and scrolling stability
sonic-advance-external-reference,125,,scripts\visual-input\sonic-advance-longplay.input,9000,4500000000,900,300,visual-saves\approved\sonic-advance-roundtrip.sav,true,reference-window,true,4,Sonic Advance early beach external reference,Short stable early-gameplay target for mGBA/gbaSharp visual comparison; the 30000-frame Sonic row remains the local longplay soak
metroid-fusion-longplay,124,,scripts\visual-input\metroid-fusion-longplay.input,56000,28000000000,3600,1600,visual-saves\approved\metroid-fusion-roundtrip.sav,true,strict-longplay,true,8,Metroid Fusion extended gameplay soak,Strict longplay baseline for SRAM action-platformer stability
doom-longplay,1,,scripts\visual-input\doom-longplay.input,18000,9000000000,2400,600,,false,strict-longplay,true,8,Doom extended first-person gameplay soak,Strict longplay baseline for FPS rendering/input/audio stability
doom-external-reference,1,,scripts\visual-input\no-input.input,620,500000000,300,60,,false,reference-window,true,1,Doom no-input intro external reference,Short exact id-logo target for mGBA/gbaSharp visual comparison; compares gbaSharp frame 600 against mGBA frame 620 because the no-input logo animation is offset by 20 frames
gta-longplay,4,,scripts\visual-input\gta-longplay.input,24000,12000000000,2400,800,,false,strict-longplay,true,8,GTA extended on-foot gameplay soak,Strict longplay baseline for the former DMA/generated-code crash anchor
gta-external-reference,4,,scripts\visual-input\no-input.input,600,500000000,300,60,,false,reference-window,true,1,GTA no-input intro external reference,Short exact intro target for mGBA/gbaSharp visual comparison; the 24000-frame on-foot gameplay row remains the local longplay soak
wario-land4-longplay,131,,scripts\visual-input\wario-land4-longplay.input,30000,15000000000,2400,1000,,false,strict-longplay,true,8,Wario Land 4 extended platforming soak,Strict longplay baseline for animated platformer movement and attacks
fire-emblem-longplay,209,,scripts\visual-input\fire-emblem-longplay.input,36000,18000000000,2400,900,,false,strict-longplay,true,8,Fire Emblem tactical map/menu soak,Strict longplay baseline for tactical RPG map UI and text stability
mario-kart-longplay,119,,scripts\visual-input\mario-kart-longplay.input,20000,10000000000,1800,600,visual-saves\mario-kart.sav,true,strict-longplay,true,8,Mario Kart extended active race soak,Strict longplay baseline for affine racing and audio/video stability
