label,actualImage,referenceImage,maxDifferentPixels,maxChannelDelta,notes
sonic-advance-external-reference,visual-baselines/longplay/sonic-advance-external-reference.ppm,reference-captures/mgba/longplay/sonic-advance-external-reference.png,4000,0,Sonic Advance early beach external reference; same-scene tolerance allows HUD/timer and minor frame/input-phase drift
metroid-fusion-longplay,visual-baselines/longplay/metroid-fusion-longplay.ppm,reference-captures/mgba/longplay/metroid-fusion-longplay.png,600,0,Metroid Fusion extended gameplay longplay reference; minor same-scene animated sprite/beam phase drift
doom-external-reference,visual-baselines/longplay/doom-external-reference.ppm,reference-captures/mgba/longplay/doom-external-reference.png,0,0,Doom no-input intro external reference; exact match compares gbaSharp frame 600 against mGBA frame 620, FPS gameplay route remains local-only because the 3D viewport diverges
gta-external-reference,visual-baselines/longplay/gta-external-reference.ppm,reference-captures/mgba/longplay/gta-external-reference.png,0,0,GTA no-input intro external reference; exact match at frame 600, on-foot gameplay route remains local-only because later route timing diverges
wario-land4-longplay,visual-baselines/longplay/wario-land4-longplay.ppm,reference-captures/mgba/longplay/wario-land4-longplay.png,800,0,Wario Land 4 extended platforming longplay reference; minor same-scene projectile/sprite phase drift
fire-emblem-longplay,visual-baselines/longplay/fire-emblem-longplay.ppm,reference-captures/mgba/longplay/fire-emblem-longplay.png,50,0,Fire Emblem tactical map longplay reference; refreshed baseline has exact map with tiny UI/cursor phase drift
mario-kart-external-reference,visual-baselines/longplay/mario-kart-external-reference.ppm,reference-captures/mgba/longplay/mario-kart-external-reference.png,0,0,Mario Kart no-input intro external reference; exact match compares gbaSharp frame 420 against mGBA frame 435, active race remains local-only because input timing diverges
tony-hawk2-external-reference,visual-baselines/longplay/tony-hawk2-external-reference.ppm,reference-captures/mgba/longplay/tony-hawk2-external-reference.png,0,0,Tony Hawk 2 no-input intro external reference; exact Activision logo match, skate tutorial remains local-only because save/input timing diverges
castlevania-aria-longplay,visual-baselines/longplay/castlevania-aria-longplay.ppm,reference-captures/mgba/longplay/castlevania-aria-longplay.png,100,0,Castlevania Aria extended castle longplay reference; tiny HUD counter drift only
castlevania-harmony-longplay,visual-baselines/longplay/castlevania-harmony-longplay.ppm,reference-captures/mgba/longplay/castlevania-harmony-longplay.png,5500,0,Castlevania Harmony extended castle longplay reference; same-scene afterimage/effect animation phase drift
golden-sun-longplay,visual-baselines/longplay/golden-sun-longplay.ppm,reference-captures/mgba/longplay/golden-sun-longplay.png,4000,0,Golden Sun extended outdoor RPG longplay reference; same-scene rain/weather animation phase drift
pokemon-ruby-external-reference,visual-baselines/longplay/pokemon-ruby-external-reference.ppm,reference-captures/mgba/longplay/pokemon-ruby-external-reference.png,150,0,Pokemon Ruby no-save intro external reference; tiny intro ripple animation phase drift, save-assisted Ruby remains local-only until mGBA Flash128K fixture import is reliable
mario-luigi-longplay,visual-baselines/longplay/mario-luigi-longplay.ppm,reference-captures/mgba/longplay/mario-luigi-longplay.png,0,0,Mario and Luigi extended room longplay reference
mega-man-battle-network-longplay,visual-baselines/longplay/mega-man-battle-network-longplay.ppm,reference-captures/mgba/longplay/mega-man-battle-network-longplay.png,0,0,Mega Man Battle Network extended room longplay reference
fzero-gp-external-reference,visual-baselines/longplay/fzero-gp-external-reference.ppm,reference-captures/mgba/longplay/fzero-gp-external-reference.png,0,0,F-Zero GP Legend no-input intro external reference; active-race GP Legend remains local-only because mGBA/gbaSharp race input timing diverges
fzero-maximum-longplay,visual-baselines/longplay/fzero-maximum-longplay.ppm,reference-captures/mgba/longplay/fzero-maximum-longplay.png,200,0,F-Zero Maximum Velocity active race longplay reference; current capture is same-scene with tiny HUD/timer drift
warioware-longplay,visual-baselines/longplay/warioware-longplay.ppm,reference-captures/mgba/longplay/warioware-longplay.png,500,0,WarioWare active microgame longplay reference retimed to gbaSharp frame 17220 against mGBA frame 18000
