label,romPath,inputScript,saveFile,saveReadOnly,stopFrame,maxSteps,maxSeconds,keys,alignRomEntry,expectedSignalStatus,notes
sonic-advance-title,"Sonic Advance (USA) (En,Ja).gba",,,false,300,500000000,180,,false,silent,Root Sonic Advance no-BIOS title/intro audio smoke
pokemon-ruby-title,Ruby.gba,,,false,300,500000000,180,,false,ok,Root Pokemon Ruby title/intro audio smoke
zelda-minish-save-bedroom,"curated_official_gba\platform-action\054 - Legend of Zelda, The - The Minish Cap (USA).gba",scripts\visual-input\zelda-minish-opening.input,visual-saves\approved\zelda-minish-roundtrip.sav,true,1800,1200000000,360,,true,ok,Save-assisted Zelda bedroom audio smoke
advance-wars-save-map,"curated_official_gba\strategy-card\116 - Advance Wars (USA) (Rev 1).gba",scripts\visual-input\advance-wars-map.input,visual-saves\approved\advance-wars-roundtrip.sav,true,1800,1200000000,300,,true,ok,Save-assisted Advance Wars map/menu audio smoke
metroid-fusion-save-gameplay,"curated_official_gba\platform-action\060 - Metroid Fusion (USA).gba",scripts\visual-input\metroid-fusion-gameplay.input,visual-saves\approved\metroid-fusion-roundtrip.sav,true,1800,1200000000,360,,true,ok,Save-assisted Metroid Fusion gameplay audio smoke
sonic-advance-save-controlled,"curated_official_gba\platform-action\061 - Sonic Advance (USA) (En,Ja).gba",scripts\visual-input\sonic-advance-controlled.input,visual-saves\approved\sonic-advance-roundtrip.sav,true,1800,1200000000,300,,true,ok,Save-assisted Sonic Advance controlled gameplay audio smoke
mario-kart-save-race,"curated_official_gba\platform-action\055 - Mario Kart - Super Circuit (USA).gba",scripts\visual-input\mario-kart-race.input,visual-saves\mario-kart.sav,true,1800,1200000000,300,,true,ok,Save-assisted Mario Kart race audio smoke
mario-luigi-save-room,"curated_official_gba\rpg-adventure\010 - Mario & Luigi - Superstar Saga (USA).gba",scripts\visual-input\mario-luigi-gameplay.input,visual-saves\approved\mario-luigi-roundtrip.sav,true,1800,1200000000,360,,true,ok,Save-assisted Mario & Luigi room audio smoke
tony-hawk2-save-gameplay,"curated_official_gba\sports\199 - Tony Hawk's Pro Skater 2 (USA, Europe).gba",scripts\visual-input\tony-hawk2-gameplay.input,visual-saves\approved\tony-hawk2-roundtrip.sav,true,1800,1200000000,360,,true,ok,Save-assisted Tony Hawk 2 gameplay audio smoke
castlevania-aria-gameplay,"curated_official_gba\platform-action\043 - Castlevania - Aria of Sorrow (USA).gba",scripts\visual-input\castlevania-aria-gameplay.input,,false,1800,1200000000,360,,true,ok,Scripted Castlevania Aria gameplay audio smoke
castlevania-harmony-gameplay,"curated_official_gba\platform-action\045 - Castlevania - Harmony of Dissonance (USA).gba",scripts\visual-input\castlevania-harmony-gameplay.input,,false,1800,1200000000,360,,true,ok,Scripted Castlevania Harmony gameplay audio smoke
