label,index,romPath,inputScript,stopFrame,maxSteps,maxSeconds,snapshotFrames,saveFile,saveReadOnly,targetScene,baselineRequired,minDistinctPcs,expectedScene,notes
sonic-advance-longplay,125,,scripts\visual-input\sonic-advance-longplay.input,30000,15000000000,2400,600,visual-saves\approved\sonic-advance-roundtrip.sav,true,longplay,false,8,Sonic Advance extended beach gameplay soak,Save-assisted longplay route for scanline/HBlank timing and scrolling stability
mario-kart-longplay,119,,scripts\visual-input\mario-kart-longplay.input,20000,10000000000,1800,600,visual-saves\mario-kart.sav,true,longplay,false,8,Mario Kart extended active race soak,Save-assisted longplay route for affine racing and audio/video stability
metroid-fusion-longplay,124,,scripts\visual-input\metroid-fusion-longplay.input,56000,28000000000,3600,1600,visual-saves\approved\metroid-fusion-roundtrip.sav,true,longplay,false,8,Metroid Fusion extended gameplay soak,Save-assisted longplay route for SRAM action-platformer stability
tony-hawk2-longplay,259,,scripts\visual-input\tony-hawk2-longplay.input,27000,13500000000,2400,900,visual-saves\approved\tony-hawk2-roundtrip.sav,true,longplay,false,8,Tony Hawk 2 extended skate tutorial soak,Save-assisted longplay route for sports rendering and input stability
castlevania-aria-longplay,107,,scripts\visual-input\castlevania-aria-longplay.input,32000,16000000000,2400,1000,,false,longplay,false,8,Castlevania Aria extended castle gameplay soak,Fresh-start longplay route for action-platformer scrolling and combat stability
castlevania-harmony-longplay,109,,scripts\visual-input\castlevania-harmony-longplay.input,34000,17000000000,3600,1000,,false,longplay,false,8,Castlevania Harmony extended castle gameplay soak,Fresh-start longplay route for action-platformer scrolling and combat stability with widened wall-clock budget for loaded hosts
pokemon-ruby-longplay,0,Ruby.gba,scripts\visual-input\pokemon-ruby-longplay.input,78000,39000000000,3600,1500,visual-saves\approved\pokemon-ruby-root-bedroom.sav,true,longplay,false,8,Pokemon Ruby extended save-assisted map and room soak,Flash128K read-only longplay route for text/map/room stability
doom-longplay,1,,scripts\visual-input\doom-longplay.input,18000,9000000000,2400,600,,false,longplay,false,8,Doom extended first-person gameplay soak,Longplay route for FPS rendering/input/audio stability using verified 18k-frame budget
gta-longplay,4,,scripts\visual-input\gta-longplay.input,24000,12000000000,2400,800,,false,longplay,false,8,GTA extended on-foot gameplay soak,Longplay route for former DMA/generated-code crash anchor retuned to active gameplay before story dialogue
golden-sun-longplay,211,,scripts\visual-input\golden-sun-longplay.input,52000,26000000000,3600,1300,,false,longplay,false,8,Golden Sun extended outdoor RPG soak,Longplay route for Flash64K RPG scene and dialogue stability
mario-luigi-longplay,212,,scripts\visual-input\mario-luigi-longplay.input,48000,24000000000,3000,1200,visual-saves\approved\mario-luigi-roundtrip.sav,true,longplay,false,7,Mario and Luigi extended save-assisted room soak,EEPROM read-only longplay route retuned to room scene before the find-Mario prompt
mega-man-battle-network-longplay,78,,scripts\visual-input\mega-man-battle-network-longplay.input,22000,11000000000,1800,800,,false,longplay,false,5,Mega Man Battle Network extended room soak,Longplay route retuned to room scene before PET dialogue prompt
wario-land4-longplay,131,,scripts\visual-input\wario-land4-longplay.input,30000,15000000000,2400,1000,,false,longplay,false,8,Wario Land 4 extended platforming soak,Longplay route for animated platformer movement and attacks
fzero-gp-longplay,177,,scripts\visual-input\fzero-gp-longplay.input,9000,4500000000,1500,300,,false,longplay,false,4,F-Zero GP Legend active race soak,Longplay route retuned to active race frame before mission failure
fzero-maximum-longplay,178,,scripts\visual-input\fzero-maximum-longplay.input,7200,3600000000,1200,300,,false,longplay,false,3,F-Zero Maximum Velocity active race soak,Longplay route retuned to active race/checkpoint frame before loss state
fire-emblem-longplay,209,,scripts\visual-input\fire-emblem-longplay.input,36000,18000000000,2400,900,,false,longplay,false,8,Fire Emblem tactical map/menu soak,Fresh-start longplay route for tactical RPG map UI and text stability
